dataset,modo,threads,schedule,chunk,rep,iters,sse_final,time_ms,median_ms
m,omp,2,static,1,0,NA,NA,NA,4.624
m,omp,4,static,1,1,3,33447.299806,4.244,NA
m,omp,4,static,1,2,3,33447.299806,4.126,NA
m,omp,4,static,1,3,3,33447.299806,4.257,NA
m,omp,4,static,1,4,3,33447.299806,3.990,NA
m,omp,4,static,1,5,3,33447.299806,4.082,NA
m,omp,4,static,1,0,NA,NA,NA,4.126
m,omp,8,static,1,1,3,33447.299806,1.974,NA
m,omp,8,static,1,2,3,33447.299806,2.048,NA
m,omp,8,static,1,3,3,33447.299806,1.981,NA
m,omp,8,static,1,4,3,33447.299806,1.986,NA
m,omp,8,static,1,5,3,33447.299806,3.080,NA
m,omp,8,static,1,0,NA,NA,NA,1.986
m,omp,16,static,1,1,3,33447.299806,40.134,NA
m,omp,16,static,1,2,3,33447.299806,47.264,NA
m,omp,16,static,1,3,3,33447.299806,2.448,NA
m,omp,16,static,1,4,3,33447.299806,2.410,NA
m,omp,16,static,1,5,3,33447.299806,45.190,NA
m,omp,16,static,1,0,NA,NA,NA,40.134
m,omp,1,static,64,1,3,33447.299806,1.902,NA
m,omp,1,static,64,2,3,33447.299806,1.790,NA
m,omp,1,static,64,3,3,33447.299806,2.008,NA
m,omp,1,static,64,4,3,33447.299806,1.902,NA
m,omp,1,static,64,5,3,33447.299806,1.876,NA
m,omp,1,static,64,0,NA,NA,NA,1.902
m,omp,2,static,64,1,3,33447.299806,2.059,NA
m,omp,2,static,64,2,3,33447.299806,2.013,NA
m,omp,2,static,64,3,3,33447.299806,2.189,NA
m,omp,2,static,64,4,3,33447.299806,1.904,NA
m,omp,2,static,64,5,3,33447.299806,2.298,NA
m,omp,2,static,64,0,NA,NA,NA,2.059
m,omp,4,static,64,1,3,33447.299806,2.040,NA
m,omp,4,static,64,2,3,33447.299806,2.054,NA
m,omp,4,static,64,3,3,33447.299806,2.069,NA
m,omp,4,static,64,4,3,33447.299806,2.139,NA
m,omp,4,static,64,5,3,33447.299806,2.092,NA
m,omp,4,static,64,0,NA,NA,NA,2.069
m,omp,8,static,64,1,3,33447.299806,1.907,NA
m,omp,8,static,64,2,3,33447.299806,1.770,NA
m,omp,8,static,64,3,3,33447.299806,1.649,NA
m,omp,8,static,64,4,3,33447.299806,1.806,NA
m,omp,8,static,64,5,3,33447.299806,1.871,NA
m,omp,8,static,64,0,NA,NA,NA,1.806
m,omp,16,static,64,1,3,33447.299806,8.491,NA
m,omp,16,static,64,2,3,33447.299806,49.195,NA
m,omp,16,static,64,3,3,33447.299806,3.433,NA
m,omp,16,static,64,4,3,33447.299806,47.031,NA
m,omp,16,static,64,5,3,33447.299806,38.532,NA
m,omp,16,static,64,0,NA,NA,NA,38.532
m,omp,1,static,256,1,3,33447.299806,1.898,NA
m,omp,1,static,256,2,3,33447.299806,2.001,NA
m,omp,1,static,256,3,3,33447.299806,1.887,NA
m,omp,1,static,256,4,3,33447.299806,1.911,NA
m,omp,1,static,256,5,3,33447.299806,1.823,NA
m,omp,1,static,256,0,NA,NA,NA,1.898
m,omp,2,static,256,1,3,33447.299806,2.501,NA
m,omp,2,static,256,2,3,33447.299806,2.473,NA
m,omp,2,static,256,3,3,33447.299806,2.158,NA
m,omp,2,static,256,4,3,33447.299806,2.759,NA
m,omp,2,static,256,5,3,33447.299806,2.717,NA
m,omp,2,static,256,0,NA,NA,NA,2.501
m,omp,4,static,256,1,3,33447.299806,2.294,NA
m,omp,4,static,256,2,3,33447.299806,2.205,NA
m,omp,4,static,256,3,3,33447.299806,2.237,NA
m,omp,4,static,256,4,3,33447.299806,2.831,NA
m,omp,4,static,256,5,3,33447.299806,2.251,NA
m,omp,4,static,256,0,NA,NA,NA,2.251
m,omp,8,static,256,1,3,33447.299806,1.996,NA
m,omp,8,static,256,2,3,33447.299806,1.771,NA
m,omp,8,static,256,3,3,33447.299806,1.797,NA
